categories,chunks,context,id,targets,time_coords,time_indices,trials,words
animal,0,read,180,animal,6.8000030517578125,8,1,GALLO
animal,0,read,180,animal,7.650003433227539,9,1,GALLO
animal,0,read,180,animal,8.500003814697266,10,1,GALLO
animal,0,read,180,animal,9.350004196166992,11,1,GALLO
animal,0,read,180,animal,10.200004577636719,12,1,GALLO
animal,0,read,180,animal,11.050004959106445,13,1,GALLO
tool,0,read,181,tool,18.700008392333984,22,20,TIJERA
tool,0,read,181,tool,19.55000877380371,23,20,TIJERA
tool,0,read,181,tool,20.400009155273438,24,20,TIJERA
tool,0,read,181,tool,21.250009536743164,25,20,TIJERA
tool,0,read,181,tool,22.10000991821289,26,20,TIJERA
tool,0,read,181,tool,22.950010299682617,27,20,TIJERA
animal,0,read,182,animal,30.600013732910156,36,6,BURRO
animal,0,read,182,animal,31.450014114379883,37,6,BURRO
animal,0,read,182,animal,32.30001449584961,38,6,BURRO
animal,0,read,182,animal,33.150014877319336,39,6,BURRO
animal,0,read,182,animal,34.00001525878906,40,6,BURRO
animal,0,read,182,animal,34.85001564025879,41,6,BURRO
tool,0,read,183,tool,43.350019454956055,51,24,CLAVO
tool,0,read,183,tool,44.20001983642578,52,24,CLAVO
tool,0,read,183,tool,45.05002021789551,53,24,CLAVO
tool,0,read,183,tool,45.900020599365234,54,24,CLAVO
tool,0,read,183,tool,46.75002098083496,55,24,CLAVO
tool,0,read,183,tool,47.60002136230469,56,24,CLAVO
animal,0,read,184,animal,55.25002479553223,65,5,GORILA
animal,0,read,184,animal,56.10002517700195,66,5,GORILA
animal,0,read,184,animal,56.95002555847168,67,5,GORILA
animal,0,read,184,animal,57.800025939941406,68,5,GORILA
animal,0,read,184,animal,58.65002632141113,69,5,GORILA
animal,0,read,184,animal,59.50002670288086,70,5,GORILA
animal,0,read,185,animal,68.85003089904785,81,12,BALLENA
animal,0,read,185,animal,69.70003128051758,82,12,BALLENA
animal,0,read,185,animal,70.5500316619873,83,12,BALLENA
animal,0,read,185,animal,71.40003204345703,84,12,BALLENA
animal,0,read,185,animal,72.25003242492676,85,12,BALLENA
animal,0,read,185,animal,73.10003280639648,86,12,BALLENA
tool,0,read,186,tool,80.75003623962402,95,34,MARTILLO
tool,0,read,186,tool,81.60003662109375,96,34,MARTILLO
tool,0,read,186,tool,82.45003700256348,97,34,MARTILLO
tool,0,read,186,tool,83.3000373840332,98,34,MARTILLO
tool,0,read,186,tool,84.15003776550293,99,34,MARTILLO
tool,0,read,186,tool,85.00003814697266,100,34,MARTILLO
tool,0,read,187,tool,93.50004196166992,110,30,TALADRO
tool,0,read,187,tool,94.35004234313965,111,30,TALADRO
tool,0,read,187,tool,95.20004272460938,112,30,TALADRO
tool,0,read,187,tool,96.0500431060791,113,30,TALADRO
tool,0,read,187,tool,96.90004348754883,114,30,TALADRO
tool,0,read,187,tool,97.75004386901855,115,30,TALADRO
tool,0,read,188,tool,106.25004768371582,125,33,CUCHARA
tool,0,read,188,tool,107.10004806518555,126,33,CUCHARA
tool,0,read,188,tool,107.95004844665527,127,33,CUCHARA
tool,0,read,188,tool,108.800048828125,128,33,CUCHARA
tool,0,read,188,tool,109.65004920959473,129,33,CUCHARA
tool,0,read,188,tool,110.50004959106445,130,33,CUCHARA
tool,0,read,189,tool,117.30005264282227,138,29,CEPILLO
tool,0,read,189,tool,118.15005302429199,139,29,CEPILLO
